SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070518-SWH-38,100,1000,101,102,100,100,149,149,,,,0,,RMS,"1-100, 1000, 10 000, [wca 100] 1000 [101] 101-109 [110] 111-119 [120] 121, 124 [121] 122-129 [130] 131-139 [140] 141-149"
070518-SWH-38,109,NA,110,111,100,100,149,149,,,,0,,RMS,
070518-SWH-38,119,NA,120,121,100,100,149,149,,,,0,,RMS,
070518-SWH-38,129,NA,130,131,100,100,149,149,,,,0,,RMS,
070518-SWH-38,139,NA,140,141,100,100,149,149,,,,0,,RMS,
070618-SWH-39,54,56,55,56,54,54,108,108,,,dropped 0 for 101 (1 bak 1),0,,RMS,"1-54, 56, [wca 54], 56 [55] 56-59, 50, [60], 61-69, [wca 69] 70-79, [wca 79], 80-99, [100] 100, 101-108 (1 bak 1- 1 bak 8), 1-9.... [wca 1 bak 8] 1-9-9 [1 bak 9] 1 bak 9"
070618-SWH-39,59,50,60,61,54,54,108,108,,,,0,,RMS,
070618-SWH-39,99,IDK,100,101,54,54,108,108,,,,0,,RMS,
070618-SWH-39,108,199,109,1-9-9,54,54,108,108,,,,0,,RMS,
070618-SWH-40,109,IDK,110,111,109,109,141,141,,,read out digit for 101 (1 zero 1),0,,RMS,"1-100, 101-109 (1 zero 1 - 1 zero 9) [wca 109] IDK [110] 111-129, 1 bak 3 s... [wca 129] 1-3-0 [130 right?] 131-141"
070518-SWH-41,109,NA,120,121,109,109,140,140,,"Experimenter error, provided incorrect prompt (120) after 109",,0,,RMS,"1-100, 101-109 [wca109] [120] 121-129, [wca 129] 130-140"
070618-SWH-42,109,IDK,110,IDK,109,109,109,109,,,,0,,RMS,"1-100, 101-109, [110] IDK"
070518-SWH-43,100,IDK,101,102,100,100,140,140,,,,0,,RMS,"1-100, [101] 102-109, 1000 [110, E prompted a bit more than usual] 111-119 [120] 121-129 [130] 131-140"
070518-SWH-43,109,1000,110,111,100,100,140,140,,,,0,,RMS,
070518-SWH-43,119,NA,120,121,100,100,140,140,,,,0,,RMS,
070518-SWH-43,129,NA,130,131,100,100,140,140,,,,0,,RMS,
070518-SWH-44,142,NA,NA,NA,142,142,142,142,,,,0,,RMS,"1-100, [wca 100? NR. E asked in a different one using phrase ""the next one"" kid seemed to get this], 101-119 [wca 119] 120-142"
070518-SWH-45,119,130,120,121,119,119,140,140,,,,0,,RMS,"1-109, 110-119, 130, 131 [wca 119] 130, [120] 121-140"
070518-SWH-46,143,NA,NA,NA,143,143,143,143,,,101 correct; but added 0 for 110 (1 bak zero 1 ten vs. 1 bak 1 ten),0,,RMS,"1-109, 110-140 (but say 1-bak-zero-1-sup, all the way to 140, zero not necessary)"
070518-SWH-47,109,IDK,110,111,109,109,119,119,,,,0,,RMS,"1-109 [110] 120, [wca 110] 112, self-correct to 111-119 [120] 122, [wca 120], 30, 122"
070518-SWH-47,119,IDK,120,122,109,109,119,119,,,,0,,RMS,
070518-SWH-49,120,IDK,121,122,120,120,142,142,,,,0,,RMS,1-120 [121] 121-123-audio cut off (Part 2 started with SF)
070518-SWH-50,119,130,120,121,119,119,140,140,,,,0,,RMS,"1-119, 130, 131, [wca 119] 130, [120], 121-140"
070518-SWH-51,109,NA,110,111,109,109,119,119,,,,0,,RMS,1-109 [110] 110-119 [120]
070518-SWH-51,119,NA,120,130,109,109,119,119,,,,0,,RMS,
070518-SWH-54,119,110,120,121,119,119,139,139,,,101 correct; replaced 1 with 0 for 110 (1 bak zero ten),0,,RMS,"1-109, 110-119 (but say 1-bak-zero-sup, all the way to 119), [120] 121-129 [wca 129], 30.. [130], 131-139, 141"
070518-SWH-54,129,300,130,131,119,119,139,139,,,,0,,RMS,
070518-SWH-55,101,NA,102,103,101,101,139,139,,,,0,,RMS,"1-101 [102] 102-107, 109 [107] 108-109 [110] 111-117, 116, [wca 117] 117-119 [120] 121-129, 300 [129] 200, [130], 131-139 [139] [100... E prompted with ""1 bak"" then kid said 140, not sure if kid could generate 140 otherwise] 140"
070518-SWH-55,109,IDK,110,111,101,101,139,139,,,,0,,RMS,
070518-SWH-55,119,NA,120,121,101,101,139,139,,,,0,,RMS,
070518-SWH-55,129,200,130,131,101,101,139,139,,,,0,,RMS,
070518-SWH-56,100,IDK,101,102,100,100,129,129,,,101 provided by E; replaced 1 with 0 for 110 (1 bak zero ten),0,,RMS,"1-100 [101] 102-109, 110 (1 bak zero sup) 101 [wca110] [109, 110] 102, [111] I can't [wca 111 rising] 112-119 [120 rising] 120, 121-129 [130, 130 rising] IDK"
070518-SWH-56,110,102,111,112,100,100,129,129,,,,0,,RMS,
070518-SWH-56,119,IDK,120,121,100,100,129,129,,,,0,,RMS,
070518-SWH-56,129,IDK,130,IDK,100,100,129,129,,,,0,,RMS,
070518-SWH-57,100,IDK,101,102,100,100,140,140,,,101 provided by E; replaced 1 with 0 for 110 (1 bak zero ten),0,,RMS,"1-100 [101] 102-109, 110-129, 131-139, 134 [wca 139] 140 (but say 1-bak-zero-sup from 110-140, zero not necessary) "
070518-SWH-57,129,131,E missed,NA,100,100,140,140,,,,0,,RMS,
070518-SWH-58,144,NA,NA,NA,144,144,144,144,,,,0,,RMS,1-140
070518-SWH-59,100,IDK,101,102,100,100,109,109,,,,0,,RMS,"1-100 [101] 102-109, 200 [wca 109] 200 [110] "
